"List of International Organisations for which a simplified reporting of AnaCredit counterparty reference data applies, unless otherwise decided by the relevant NCB",,,,,
"Source landing page: https://www.ecb.europa.eu/stats/ecb_statistics/anacredit/html/index.en.html",,,,,
"Source file: https://www.ecb.europa.eu/stats/money/aggregates/anacredit/shared/pdf/List_of_international_organisations.xlsx",,,,,
"Reuse policy: https://www.ecb.europa.eu/stats/ecb_statistics/governance_and_quality_framework/html/usage_policy.en.html",,,,,
#,International organisation,Head office / Location,Comment,Counterparty identifier (unless otherwise decided by the NCB),International Organisation Code
124,Organization of American States  [OAS],Washington,,N$0ECBM00602,5Z28
125,Organization of Arab Petroleum Exporting Countries  [OAPEC],Safat (Kuwait),,N$0ECBM00610,5Z29
126,Organization of Central American States  [OCAS],San Salvador,,N$0ECBM00628,5Z30
127,South Asian Association for Regional Cooperation  [SAARC],Kathmandu,,N$0ECBM00636,5Z33
128,Special Development Fund (related to the Caribbean Development Bank) [SDF],St Michael (Barbados),,N$0ECBM00644,5S
129,United Nations Children's Fund  [UNICEF],New York,,N$0ECBM00651,1O
130,United Nations Conference on Trade and Development  [UNCTAD],Geneva,,N$0ECBM00669,5Z34
131,"United Nations, its committees, funds and programmes, other [-]",New York,EU20180000000000065776.2018-11-09.LEI.549300HYGYJKXU2J8X74,N$0ECBM00677,1U
132,Universal Postal Union  [UPU],Berne,,N$0ECBM00685,1V
133,West African Central Bank [BCEAO],Dakar,,N$0ECBM00693,5O
134,West African Economic and Monetary Union [WAEMU],Ouagadougou,,N$0ECBM00701,7A
135,West African Economic Community  [WAEC],Ouagadougou,,N$0ECBM00719,5Z35
136,West African Health Organisation [WAHO],Bobo-Dioulasso (Burkina Faso),,N$0ECBM00727,5Z36
137,West African Monetary Agency  [WAMA],Freetown (Sierra Leone),,N$0ECBM00735,5Z37
138,West African Monetary Institute [WAMI],Accra (Gana),,N$0ECBM00743,5Z38
139,World Council of Churches  [WCC],Geneva,,N$0ECBM00750,5Z39
140,World Health Organization  [WHO],Geneva,,N$0ECBM00768,1K
141,World Intellectual Property Organization  [WIPO],Geneva,,N$0ECBM00776,5Z40
142,World Meteorological Organization  [WMO],Geneva,,N$0ECBM00784,5Z41
143,World Trade Organization  [WTO],Geneva,,N$0ECBM00792,1D
144,Black Sea Trade and Development Bank [BSTDB],Thessaloniki,,N$0ECBM00800,7G
145,Computer Emergency Response Team [CERT],Brussels,,N$0ECBM00818,4J84
146,Council of Europe  [CE],Strasbourg,The organisation is distinct from the 28-nation European Union (EU) it has 47 member states and founded by the Treaty of London 1949. ,N$0ECBM00826,6C
147,Council of Europe Development Bank [CEB],Paris,The 3rd Protocol to the general agreement on privileges and immunities of the Council of Europe.,N$0ECBM00834,7E
148,EU-Africa Infrastructure Trust Fund  [EU-ATIF],Luxembourg,,N$0ECBM00842,4R
149,European Bank for Reconstruction and Development [EBRD],London,,N$0ECBM00859,5F
150,European Centre for Medium-Range Weather Forecasts [ECMWF],Reading (UK),ECMWF Convention of 1975,N$0ECBM00867,6N
151,European Molecular Biology Laboratory [EMBL],Grenoble,"EMBL is an intergovernmental organisation, consisting of more than 20 member states, associate and prospect members.",N$0ECBM00875,6I
152,European Organisation for the Exploitation of Meteorological Satellites [EUMETSAT],Darmstadt (Germany),EUMETSAT is an intergovernmental organisation and was founded in 1986.,N$0ECBM00883,6L
153,European Organisation for the Safety of Air Navigation [EUROCONTROL],Brussels,EUROCONTROL is an international organisation founded in 1960 by the Eurocontrol Convention. Eurocontrol currently has 41 member states.,N$0ECBM00891,6G
154,European Patent Office [EPO],Muniche,EPO is an intergovernmental organisation that was set up on 7 October 1977 on the basis of the European Patent Convention (EPC) signed in Munich in 1973.,N$0ECBM00909,6F
155,European Southern Observatory [ESO],Muniche,ESO is a 16-nation intergovernmental research organization based on the ESO Declaration in 1954.,N$0ECBM00917,6M
156,European Space Agency  [ESA],Paris,ESA  was founded with the ESA Convention in 1975,N$0ECBM00925,6E
157,Facility for Euro-Mediterranean Investment and Partnership [FEMIP],Luxembourg,"FEMIP began in 2002, an important intensification of a more than 30-year financial partnership between the region and the EIB.",N$0ECBM00933,4V
158,Fonds Belgo-Congolais D’Amortissement et de Gestion [RDC],Brussels,,N$0ECBM00941,7K
159,Food and Agricultural Organization  [FAO],Rome,,N$0ECBM00958,1J
160,Fusion for Energy [F4E],Barcelona,,N$0ECBM00966,5Z8
161,Intergovernmental Council of Copper Exporting Countries  [CIPEC],Paris,,N$0ECBM00974,5Z9
162,International Atomic Energy Agency  [IAEA],Vienna,,N$0ECBM00982,1R
163,International Cocoa Organization  [ICCO],London,,N$0ECBM00990,5Z11
164,International Coffee Organization  [ICO],London,,N$0ECBM01006,5Z12
165,International Copper Study Group [ICSG],Lisbon,,N$0ECBM01014,5Z13
